"Special Price:","Now only:"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Account","Account"
"Cart","Cart"
"View contents of your shopping cart","View contents of your shopping cart"
"View shopping cart","View shopping cart"
"Your cart is empty","Your cart is empty"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
